,tissue,Volume,
1,Bone,9.07,
2,Brain,1.49,
3,Adipose,10.43,
4,Heart,0.31,
5,Kidney,0.31,
6,Stomach,0.15,
7,Small Intestine,0.65,
8,Large Intestine,0.37,
9,Liver,2.52,
10,Lung,0.92,
11,Muscle,33.89,
12,Pancreas,0.21,
13,Skin,5.63,
14,Spleen,0.2,
15,Plasma,3.15,
16,Gut,1.85,
17,Intestine,1.02,
18,Thymus,0.039,
